Practice Program [Total Pts: 15 Score] |367555,Lab1 [Total Pts: 50 Score] |369939,hw1 [Total Pts: 50 Score] |369940,Quiz_1 [Total Pts: 26 Score] |370595,Lab2 [Total Pts: 50 Score] |370737,hw2 [Total Pts: 50 Score] |370738,Quiz_2 [Total Pts: 42 Score] |370744,Lab3 [Total Pts: 50 Score] |371611,hw3 [Total Pts: 50 Score] |371612,Quiz_3 [Total Pts: 34 Score] |371615,Lab4 - flowchart [Total Pts: 30 Score] |372145,Lab4 - Debugging [Total Pts: 30 Score] |372146,hw4 - Program and Flowchart [Total Pts: 50 Score] |372147,Lab5 - functions [Total Pts: 50 Score] |372644,Midterm Question [Total Pts: 100 Score] |372645,Lab6 - Arrays/Lists [Total Pts: 50 Score] |373591,hw6 - Arrays/Lists [Total Pts: 50 Score] |373592,Quiz - Arrays/Lists [Total Pts: 22 Score] |373595,Lab7 - File IO [Total Pts: 50 Score] |374130,hw7 - File IO [Total Pts: 50 Score] |374131,Lab8 - Classes and Objects [Total Pts: 50 Score] |374605,hw8 - Classes and Objects [Total Pts: 50 Score] |374606,Quiz - Objects [Total Pts: 32 Score] |374703,Debugging [Total Pts: 50 Score] |375046,Lab9 - Classes and Objects [Total Pts: 50 Score] |375329,hw9 - Classes and Objects [Total Pts: 50 Score] |375516,Lab10 - Inheritance [Total Pts: 50 Score] |375960,hw10 - Inheritance [Total Pts: 50 Score] |375961,Lab11 - GUI [Total Pts: 50 Score] |376109,Final Exam (200 pts) [Total Pts: 200 Score] |376531,"Total [Total Pts: up to 1,531 Score] |364347","Overall % [Total Pts: up to 1,531 Percentage] |374118"
15,50,50,24,50,50,42,50,44,26,30,30,50,42,93,50,0,20,50,50,50,45,24,50,50,50,50,50,50,207,1442.00,94.1868
15,50,50,12,50,50,40,50,44,32,30,30,50,50,93,25,38,14,50,50,45,45,30,0,0,50,40,42,50,197,1322.00,86.34879
15,50,50,24,50,50,40,50,50,26,30,30,50,50,99,50,44,18,50,50,50,50,28,50,50,50,46,50,50,210,1510.00,98.62834
15,50,50,24,48,50,42,50,30,30,15,30,50,42,90,50,46,16,50,50,45,44,32,40,50,40,38,43,50,180,1390.00,90.79033
15,50,50,18,50,50,22,50,0,24,15,30,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.00,29.65382
15,50,50,20,50,50,34,47,45,28,30,30,42,50,100,50,0,18,50,50,40,45,28,0,45,38,50,50,50,180,1335.00,87.1979
15,50,50,26,50,50,38,50,50,30,23,30,50,50,100,50,44,20,50,50,50,50,32,45,49,48,46,25,50,210,1481.00,96.73416
15,50,50,24,50,50,34,50,47,32,30,30,50,48,100,50,48,20,50,40,50,47,30,50,49,0,40,40,50,198,1422.00,92.88047
15,50,50,2,30,0,38,0,22.5,28,23,30,40,30,60,15,25,0,20,25,35,25,32,0,0,0,0,0,0,0,595.50,38.89614
15,50,47,26,50,50,40,50,50,34,30,30,50,50,100,50,45,20,50,50,50,50,32,50,50,50,50,50,50,210,1529.00,99.86936
15,50,50,26,50,50,40,50,50,32,30,30,50,43,90,50,50,22,50,50,50,45,30,45,50,0,50,44,50,200,1442.00,94.1868
15,50,50,26,50,50,42,50,50,34,15,30,50,47,96,50,50,18,50,50,40,45,32,50,47,50,50,0,50,210,1447.00,94.51338
15,48,50,16,47,50,32,50,50,22,10,30,35,30,100,50,50,18,50,47,45,45,30,45,45,50,50,47,50,196,1403.00,91.63945
15,47,47,22,50,50,42,50,46,34,30,30,50,50,100,50,50,22,50,50,50,50,32,50,50,50,40,0,50,210,1467.00,95.81972
15,50,50,24,50,50,40,50,50,34,30,30,50,50,100,50,50,22,50,50,50,45,32,50,50,50,40,40,50,210,1512.00,98.75898
15,50,50,22,50,50,40,50,50,30,30,30,50,50,100,50,43,22,50,50,50,50,30,50,50,0,50,50,50,200,1462.00,95.49314
15,50,47,24,50,50,40,50,46,32,30,30,50,46,100,46,50,22,45,50,50,0,28,0,50,50,40,40,50,198,1379.00,90.07184
15,50,50,20,50,50,34,50,36,20,20,30,35,43,90,48,44,18,0,50,40,40,28,25,42,45,47,0,50,207,1277.00,83.40953
15,0,45,20,0,50,36,50,46,24,15,30,30,25,100,40,0,20,0,0,0,45,30,25,0,44,43,10,50,195,988.00,64.53298
15,48,50,18,50,50,32,50,44,20,28,30,50,45,100,25,20,18,50,45,45,50,24,50,43,50,45,47,50,207,1399.00,91.37818
15,50,50,26,50,50,40,50,50,32,20,30,50,50,100,49,50,20,50,50,50,50,32,50,47,50,47,47,50,200,1505.00,98.30176
15,48,50,24,50,50,40,40,47,32,0,30,40,38,90,50,47,22,30,50,50,50,30,35,50,39,45,50,50,170,1362.00,88.96146
